,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,Comercio y servicios,Restauración y vida social,Transporte y conectividad,Cultura y recreación,Financiero,Espiritual y comunitario,Salud,Educación,metodo,target,dif_fechas
24,3.0,h,2.5,3.0,2.0,2.0,5.375278407684165,Yarra City Council,Northern Metropolitan,4019.0,136.0,85.0,69.0,10.0,8.0,6.0,8.0,2.0,puja_del_vendedor,14.115615891155079,2.4849066497880004
25,2.0,u,2.5,2.0,2.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,144.0,82.0,76.0,11.0,8.0,6.0,5.0,2.0,prop_vendida,13.527829818844937,2.0794415416798357
28,2.0,h,2.5,2.0,1.0,1.0,5.2832037287379885,Yarra City Council,Northern Metropolitan,4019.0,131.0,80.0,69.0,10.0,8.0,6.0,7.0,2.0,prop_vendida,13.974649632180673,0.0
29,1.0,u,2.5,1.0,1.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,117.0,52.0,42.0,11.0,10.0,3.0,4.0,1.0,prop_vendida_prev,12.996802422000108,0.0
30,2.0,h,2.5,2.0,1.0,2.0,5.480638923341991,Yarra City Council,Northern Metropolitan,4019.0,123.0,71.0,62.0,9.0,6.0,4.0,7.0,3.0,prop_vendida,14.085538458535822,4.844187086458591
35,3.0,h,2.5,2.0,1.0,1.0,4.941642422609304,Yarra City Council,Northern Metropolitan,4019.0,161.0,84.0,53.0,14.0,10.0,3.0,4.0,2.0,prop_vendida,13.978055337127943,4.844187086458591
36,3.0,h,2.5,3.0,1.0,0.0,5.220355825078324,Yarra City Council,Northern Metropolitan,4019.0,156.0,74.0,51.0,14.0,10.0,3.0,4.0,1.0,prop_vendida,13.769467666582738,0.0
37,2.0,h,2.5,2.0,1.0,1.0,5.0238805208462765,Yarra City Council,Northern Metropolitan,4019.0,81.0,31.0,40.0,10.0,5.0,3.0,0.0,1.0,prop_vendida,13.698977865303197,3.4657359027997265
38,4.0,h,2.5,4.0,2.0,2.0,6.661854740545311,Yarra City Council,Northern Metropolitan,4019.0,168.0,93.0,75.0,13.0,9.0,6.0,5.0,2.0,prop_transferida,14.100690252077353,4.770684624465665
40,3.0,t,2.5,3.0,2.0,2.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,134.0,79.0,56.0,9.0,8.0,4.0,10.0,1.0,prop_vendida,13.710151153416941,2.0794415416798357
41,3.0,u,2.5,3.0,2.0,2.0,8.36450810375059,Yarra City Council,Northern Metropolitan,4019.0,144.0,82.0,76.0,11.0,8.0,6.0,5.0,2.0,prop_vendida,13.901689171636098,0.0
42,2.0,u,2.5,2.0,1.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,149.0,70.0,47.0,14.0,10.0,3.0,3.0,1.0,prop_vendida,13.122365377402328,3.8501476017100584
43,2.0,h,2.5,2.0,2.0,1.0,4.836281906951478,Yarra City Council,Northern Metropolitan,4019.0,133.0,79.0,68.0,10.0,8.0,6.0,5.0,2.0,prop_transferida,13.910821646859095,1.3862943611198906
44,2.0,h,2.5,2.0,1.0,0.0,5.003946305945459,Yarra City Council,Northern Metropolitan,4019.0,182.0,112.0,80.0,13.0,7.0,6.0,8.0,2.0,prop_vendida,14.089347984049986,4.762173934797756
48,1.0,u,2.5,1.0,1.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,117.0,52.0,42.0,11.0,10.0,3.0,4.0,1.0,prop_vendida_prev,12.962196972666593,0.0
49,3.0,h,2.5,3.0,3.0,1.0,5.123963979403259,Yarra City Council,Northern Metropolitan,4019.0,109.0,39.0,44.0,10.0,9.0,3.0,2.0,1.0,prop_transferida,14.185349179275335,1.6094379124341003
50,1.0,u,2.5,1.0,1.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,144.0,82.0,76.0,11.0,8.0,6.0,5.0,2.0,prop_vendida,13.032440858057756,0.0
51,2.0,h,2.5,2.0,2.0,2.0,4.605170185988092,Yarra City Council,Northern Metropolitan,4019.0,209.0,89.0,50.0,14.0,6.0,3.0,4.0,2.0,prop_vendida,13.942144089954521,4.574710978503383
53,4.0,h,2.5,4.0,3.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,135.0,50.0,46.0,14.0,6.0,3.0,0.0,1.0,prop_vendida,14.248591481613632,0.0
55,3.0,h,2.5,3.0,2.0,2.0,5.003946305945459,Yarra City Council,Northern Metropolitan,4019.0,236.0,133.0,81.0,14.0,13.0,4.0,7.0,3.0,prop_vendida,14.070153551531353,0.0
56,3.0,h,2.5,3.0,1.0,1.0,5.135798437050262,Yarra City Council,Northern Metropolitan,4019.0,155.0,62.0,43.0,14.0,7.0,3.0,1.0,2.0,prop_vendida,14.070153551531353,4.219507705176107
57,1.0,u,2.5,1.0,1.0,1.0,0.6931471805599453,Yarra City Council,Northern Metropolitan,4019.0,164.0,91.0,69.0,14.0,10.0,6.0,4.0,3.0,prop_vendida,13.060490101343552,1.3862943611198906
58,2.0,h,2.5,2.0,1.0,0.0,5.099866427824199,Yarra City Council,Northern Metropolitan,4019.0,174.0,94.0,48.0,14.0,10.0,3.0,3.0,2.0,prop_vendida,13.981025843899115,4.762173934797756
59,3.0,h,2.5,3.0,2.0,1.0,4.804021044733257,Yarra City Council,Northern Metropolitan,4019.0,178.0,97.0,55.0,14.0,10.0,3.0,4.0,2.0,prop_vendida_prev,13.993657580167481,2.9444389791664403
61,2.0,h,2.5,2.0,1.0,0.0,5.214935757608986,Yarra City Council,Northern Metropolitan,4019.0,156.0,74.0,51.0,14.0,10.0,3.0,4.0,1.0,prop_vendida,13.827934065616665,4.762173934797756
63,2.0,h,2.5,2.0,1.0,1.0,5.159055299214529,Yarra City Council,Northern Metropolitan,4019.0,149.0,88.0,65.0,11.0,6.0,6.0,8.0,1.0,prop_vendida,13.845070331079134,4.465908118654584
66,3.0,t,13.5,3.0,2.0,1.0,5.720311776607412,Moonee Valley City Council,Western Metropolitan,3464.0,19.0,3.0,12.0,2.0,1.0,0.0,3.0,2.0,prop_transferida,13.641158361294979,0.0
67,3.0,h,13.5,3.0,2.0,1.0,0.6931471805599453,Moonee Valley City Council,Western Metropolitan,3464.0,9.0,2.0,10.0,1.0,1.0,0.0,2.0,3.0,puja_del_vendedor,13.500801182986649,3.9512437185814275
68,3.0,h,13.5,3.0,2.0,1.0,0.6931471805599453,Moonee Valley City Council,Western Metropolitan,3464.0,9.0,2.0,10.0,1.0,1.0,0.0,2.0,3.0,prop_vendida_prev,13.554147092530322,3.970291913552122
70,2.0,h,13.5,2.0,1.0,1.0,5.6131281063880705,Moonee Valley City Council,Western Metropolitan,3464.0,12.0,8.0,48.0,1.0,2.0,0.0,2.0,4.0,prop_vendida,13.30967413408274,4.219507705176107
71,3.0,t,13.5,3.0,2.0,2.0,5.484796933490655,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,3.0,28.0,2.0,1.0,0.0,3.0,4.0,prop_vendida,13.45883704259595,2.1972245773362196
72,3.0,h,13.5,2.0,1.0,1.0,5.676753802268282,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,28.0,1.0,0.0,0.0,2.0,3.0,prop_vendida,13.304686600863562,3.6375861597263857
73,2.0,u,13.5,2.0,1.0,1.0,5.135798437050262,Moonee Valley City Council,Western Metropolitan,3464.0,24.0,5.0,32.0,2.0,1.0,0.0,3.0,4.0,puja_del_vendedor,13.122365377402328,1.9459101490553132
79,3.0,h,13.5,2.0,1.0,1.0,6.432940092739179,Moonee Valley City Council,Western Metropolitan,3464.0,22.0,2.0,30.0,1.0,1.0,0.0,2.0,3.0,prop_vendida,13.487007879880162,0.0
80,4.0,h,13.5,3.0,1.0,2.0,6.395261598115449,Moonee Valley City Council,Western Metropolitan,3464.0,6.0,2.0,24.0,1.0,0.0,0.0,1.0,3.0,prop_vendida,13.573440270649085,0.0
81,6.0,h,13.5,6.0,3.0,2.0,6.885509670034818,Moonee Valley City Council,Western Metropolitan,3464.0,6.0,1.0,24.0,1.0,0.0,0.0,1.0,3.0,prop_vendida_prev,13.493928313146206,3.6109179126442243
82,2.0,t,13.5,2.0,1.0,1.0,4.718498871295094,Moonee Valley City Council,Western Metropolitan,3464.0,5.0,2.0,23.0,1.0,0.0,0.0,1.0,2.0,prop_vendida,13.017005083966255,0.6931471805599453
83,2.0,u,13.5,2.0,1.0,1.0,4.962844630259907,Moonee Valley City Council,Western Metropolitan,3464.0,12.0,8.0,47.0,1.0,2.0,0.0,2.0,4.0,prop_vendida,13.151924121391561,1.3862943611198906
85,2.0,u,13.5,2.0,1.0,1.0,4.804021044733257,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,17.0,1.0,1.0,0.0,1.0,3.0,prop_vendida,13.180634172318978,1.6094379124341003
86,3.0,h,13.5,3.0,1.0,6.0,6.970730078143525,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,24.0,1.0,0.0,0.0,1.0,3.0,prop_transferida,13.704580114574805,3.7376696182833684
88,3.0,h,13.5,3.0,1.0,1.0,0.6931471805599453,Moonee Valley City Council,Western Metropolitan,3464.0,13.0,2.0,12.0,1.0,1.0,0.0,2.0,3.0,prop_vendida,13.598598798635953,4.204692619390966
90,3.0,u,13.5,3.0,1.0,1.0,5.58724865840025,Moonee Valley City Council,Western Metropolitan,3464.0,12.0,8.0,44.0,1.0,2.0,0.0,2.0,3.0,prop_vendida,13.530492932718326,3.2188758248682006
94,2.0,u,13.5,2.0,1.0,1.0,5.267858159063328,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,3.0,14.0,2.0,1.0,0.0,3.0,2.0,prop_vendida,12.994532278619134,0.0
96,5.0,h,13.5,3.0,2.0,2.0,6.393590753950631,Moonee Valley City Council,Western Metropolitan,3464.0,6.0,1.0,26.0,2.0,0.0,0.0,2.0,1.0,prop_transferida,13.534474352733596,0.0
98,3.0,t,13.5,3.0,2.0,2.0,5.117993812416755,Moonee Valley City Council,Western Metropolitan,3464.0,11.0,7.0,39.0,0.0,1.0,0.0,2.0,4.0,prop_transferida,13.45883704259595,2.0794415416798357
100,3.0,h,13.5,3.0,1.0,2.0,6.880384082186005,Moonee Valley City Council,Western Metropolitan,3464.0,16.0,3.0,12.0,1.0,1.0,0.0,2.0,2.0,prop_vendida,13.629182184591333,4.04305126783455
101,2.0,u,13.5,2.0,1.0,1.0,5.111987788356544,Moonee Valley City Council,Western Metropolitan,3464.0,25.0,6.0,35.0,2.0,1.0,0.0,3.0,4.0,prop_vendida,13.044403998094442,2.6390573296152584
102,3.0,h,13.5,3.0,2.0,2.0,6.490723534502507,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,28.0,1.0,0.0,0.0,2.0,3.0,prop_vendida_prev,13.415034483903348,0.0
103,2.0,h,13.5,2.0,1.0,1.0,6.419994928147142,Moonee Valley City Council,Western Metropolitan,3464.0,16.0,3.0,10.0,1.0,1.0,0.0,3.0,2.0,prop_vendida,13.42246945133505,3.7376696182833684
104,3.0,h,13.5,3.0,2.0,5.0,6.419994928147142,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,3.0,16.0,2.0,1.0,0.0,3.0,2.0,prop_vendida,13.856653460987888,4.204692619390966
105,3.0,h,13.5,3.0,1.0,1.0,6.655440350367647,Moonee Valley City Council,Western Metropolitan,3464.0,16.0,3.0,32.0,1.0,1.0,0.0,2.0,4.0,prop_vendida,13.721200977393528,0.0
106,4.0,h,13.5,5.0,3.0,4.0,6.278521424165844,Moonee Valley City Council,Western Metropolitan,3464.0,2.0,1.0,25.0,2.0,0.0,0.0,1.0,0.0,prop_vendida,13.558035621229783,3.6109179126442243
108,3.0,h,13.5,3.0,3.0,2.0,6.322565239927284,Moonee Valley City Council,Western Metropolitan,3464.0,2.0,1.0,23.0,2.0,0.0,0.0,1.0,1.0,prop_transferida,13.60479076121576,3.6375861597263857
109,3.0,h,13.5,3.0,2.0,2.0,6.049733455231958,Moonee Valley City Council,Western Metropolitan,3464.0,19.0,3.0,19.0,2.0,1.0,0.0,3.0,2.0,prop_vendida,13.480039220276565,3.1354942159291497
110,3.0,h,13.5,3.0,1.0,3.0,6.423246963533519,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,3.0,29.0,2.0,1.0,0.0,3.0,3.0,prop_vendida,13.579789490265188,0.0
112,3.0,t,13.5,2.0,2.0,1.0,5.093750200806762,Moonee Valley City Council,Western Metropolitan,3464.0,11.0,2.0,24.0,1.0,1.0,0.0,2.0,3.0,prop_vendida_prev,13.199326270390594,1.9459101490553132
113,3.0,t,13.5,3.0,2.0,1.0,5.68697535633982,Moonee Valley City Council,Western Metropolitan,3464.0,15.0,3.0,10.0,1.0,1.0,0.0,3.0,3.0,prop_vendida_prev,13.623139877437296,4.04305126783455
114,3.0,h,13.5,3.0,1.0,1.0,6.364750756851911,Moonee Valley City Council,Western Metropolitan,3464.0,6.0,1.0,23.0,1.0,0.0,0.0,1.0,3.0,prop_vendida,13.437175577097312,3.7376696182833684
116,3.0,h,13.5,3.0,1.0,1.0,6.437751649736401,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,4.0,25.0,2.0,1.0,0.0,3.0,3.0,prop_vendida,13.598598798635953,0.0
117,2.0,u,13.5,2.0,1.0,1.0,4.962844630259907,Moonee Valley City Council,Western Metropolitan,3464.0,19.0,3.0,14.0,2.0,1.0,0.0,3.0,3.0,prop_vendida,13.1421679654829,0.0
118,3.0,h,13.5,3.0,2.0,1.0,5.365976015021851,Moonee Valley City Council,Western Metropolitan,3464.0,21.0,4.0,26.0,2.0,1.0,0.0,3.0,3.0,prop_vendida,13.324489195480057,0.0
119,3.0,h,13.5,3.0,1.0,2.0,6.419994928147142,Moonee Valley City Council,Western Metropolitan,3464.0,20.0,3.0,27.0,2.0,1.0,0.0,3.0,2.0,prop_vendida,13.403022345492023,0.0
120,4.0,h,13.5,4.0,3.0,2.0,6.280395838960195,Moonee Valley City Council,Western Metropolitan,3464.0,4.0,1.0,28.0,2.0,0.0,0.0,1.0,0.0,prop_vendida,13.79326597151132,0.0
122,3.0,h,13.5,3.0,1.0,1.0,6.375024819828097,Moonee Valley City Council,Western Metropolitan,3464.0,17.0,3.0,11.0,1.0,1.0,0.0,3.0,3.0,prop_transferida,13.487007879880162,0.0
128,4.0,h,13.5,4.0,1.0,2.0,6.236369590203704,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,25.0,1.0,0.0,0.0,1.0,3.0,prop_vendida,13.547632419997361,0.0
129,4.0,h,13.5,4.0,2.0,3.0,6.4457198193855785,Moonee Valley City Council,Western Metropolitan,3464.0,7.0,2.0,28.0,1.0,0.0,0.0,1.0,3.0,prop_vendida,13.710151153416941,3.7376696182833684
133,2.0,h,3.3,2.0,1.0,0.0,4.804021044733257,Port Phillip City Council,Southern Metropolitan,3280.0,6.0,3.0,66.0,8.0,2.0,1.0,0.0,1.0,prop_vendida,14.058457520888082,4.762173934797756
134,2.0,h,3.3,2.0,1.0,0.0,5.081404364984463,Port Phillip City Council,Southern Metropolitan,3280.0,3.0,2.0,70.0,5.0,1.0,1.0,0.0,1.0,prop_vendida,14.190517145872716,0.0
135,3.0,h,3.3,3.0,2.0,0.0,5.3612921657094255,Port Phillip City Council,Southern Metropolitan,3280.0,2.0,3.0,47.0,4.0,0.0,1.0,0.0,0.0,prop_transferida,14.862829903121964,4.852030263919617
136,3.0,h,3.3,3.0,2.0,0.0,4.867534450455582,Port Phillip City Council,Southern Metropolitan,3280.0,37.0,17.0,62.0,4.0,4.0,1.0,3.0,0.0,prop_vendida,14.430696737594902,4.852030263919617
138,2.0,h,3.3,2.0,1.0,0.0,4.882801922586371,Port Phillip City Council,Southern Metropolitan,3280.0,11.0,7.0,85.0,11.0,1.0,1.0,0.0,1.0,prop_vendida,14.177372724968894,4.770684624465665
140,2.0,h,3.3,1.0,1.0,0.0,5.003946305945459,Port Phillip City Council,Southern Metropolitan,3280.0,37.0,19.0,61.0,6.0,4.0,1.0,3.0,0.0,prop_vendida,13.919871474189012,4.762173934797756
141,2.0,h,3.3,2.0,1.0,1.0,5.1298987149230735,Port Phillip City Council,Southern Metropolitan,3280.0,64.0,23.0,86.0,9.0,5.0,2.0,1.0,2.0,prop_vendida,14.253766134056512,0.0
142,4.0,h,3.3,4.0,2.0,1.0,5.043425116919247,Port Phillip City Council,Southern Metropolitan,3280.0,4.0,4.0,70.0,5.0,1.0,1.0,0.0,0.0,prop_vendida,14.648420115681892,4.919980925828125
144,3.0,t,3.3,3.0,2.0,2.0,6.579251212010101,Port Phillip City Council,Southern Metropolitan,3280.0,11.0,6.0,75.0,8.0,2.0,1.0,0.0,1.0,puja_del_vendedor,14.253766134056512,0.0
145,3.0,h,3.3,3.0,2.0,1.0,4.897839799950911,Port Phillip City Council,Southern Metropolitan,3280.0,30.0,15.0,88.0,7.0,4.0,2.0,1.0,2.0,puja_del_vendedor,14.403297778421795,3.044522437723423
147,2.0,h,3.3,2.0,1.0,1.0,5.303304908059076,Port Phillip City Council,Southern Metropolitan,3280.0,20.0,9.0,86.0,9.0,2.0,1.0,0.0,1.0,prop_vendida,14.566927118346197,4.762173934797756
148,3.0,h,3.3,3.0,1.0,1.0,5.541263545158426,Port Phillip City Council,Southern Metropolitan,3280.0,10.0,7.0,73.0,8.0,2.0,1.0,0.0,1.0,puja_del_vendedor,14.403297778421795,0.0
149,3.0,h,3.3,3.0,2.0,1.0,4.5217885770490405,Port Phillip City Council,Southern Metropolitan,3280.0,33.0,14.0,84.0,11.0,3.0,1.0,1.0,2.0,prop_vendida,14.403297778421795,4.762173934797756
151,2.0,h,3.3,2.0,1.0,0.0,5.488937726156687,Port Phillip City Council,Southern Metropolitan,3280.0,123.0,64.0,105.0,12.0,10.0,4.0,4.0,4.0,prop_transferida,14.408837955728044,0.0
152,3.0,h,3.3,3.0,2.0,1.0,5.187385805840755,Port Phillip City Council,Southern Metropolitan,3280.0,53.0,28.0,92.0,13.0,7.0,2.0,1.0,3.0,prop_vendida,14.776775037890266,4.919980925828125
153,5.0,h,3.3,5.0,2.0,1.0,5.476463551931511,Port Phillip City Council,Southern Metropolitan,3280.0,5.0,3.0,77.0,10.0,1.0,1.0,0.0,1.0,prop_vendida,14.557448378884015,0.0
154,3.0,h,3.3,3.0,1.0,0.0,4.875197323201151,Port Phillip City Council,Southern Metropolitan,3280.0,42.0,22.0,75.0,8.0,4.0,1.0,3.0,1.0,prop_vendida,14.077875591662238,0.0
155,3.0,h,3.3,3.0,2.0,2.0,0.6931471805599453,Port Phillip City Council,Southern Metropolitan,3280.0,2.0,3.0,64.0,5.0,1.0,1.0,0.0,0.0,prop_vendida,14.130322027731049,2.833213344056216
156,2.0,h,3.3,2.0,1.0,0.0,5.66988092298052,Port Phillip City Council,Southern Metropolitan,3280.0,60.0,22.0,88.0,8.0,5.0,2.0,1.0,2.0,prop_vendida,13.815511557963774,0.0
158,3.0,h,3.3,3.0,2.0,1.0,5.438079308923196,Port Phillip City Council,Southern Metropolitan,3280.0,35.0,16.0,67.0,5.0,4.0,1.0,3.0,0.0,prop_vendida,14.761360480429413,0.0
159,2.0,h,3.3,2.0,1.0,0.0,5.017279836814924,Port Phillip City Council,Southern Metropolitan,3280.0,37.0,19.0,59.0,7.0,4.0,1.0,3.0,0.0,prop_vendida,14.095035198857973,4.844187086458591
161,2.0,h,3.3,2.0,1.0,0.0,4.962844630259907,Port Phillip City Council,Southern Metropolitan,3280.0,22.0,11.0,87.0,12.0,2.0,1.0,0.0,2.0,prop_vendida,14.261798300592488,4.844187086458591
162,3.0,h,3.3,3.0,2.0,1.0,5.3612921657094255,Port Phillip City Council,Southern Metropolitan,3280.0,6.0,3.0,65.0,8.0,2.0,1.0,0.0,1.0,puja_del_vendedor,14.508658238524095,4.762173934797756
165,3.0,h,3.3,3.0,1.0,0.0,5.351858133476067,Port Phillip City Council,Southern Metropolitan,3280.0,5.0,3.0,63.0,5.0,2.0,1.0,0.0,1.0,prop_vendida,14.45736497045232,4.770684624465665
166,3.0,h,3.3,3.0,2.0,0.0,5.003946305945459,Port Phillip City Council,Southern Metropolitan,3280.0,6.0,3.0,66.0,7.0,2.0,1.0,0.0,1.0,prop_vendida,14.917450968950916,4.852030263919617
168,4.0,h,3.3,4.0,3.0,1.0,5.796057750765372,Port Phillip City Council,Southern Metropolitan,3280.0,21.0,12.0,41.0,4.0,2.0,1.0,2.0,0.0,puja_del_vendedor,14.845130332288226,4.672828834461906
172,3.0,h,3.3,2.0,1.0,1.0,4.804021044733257,Port Phillip City Council,Southern Metropolitan,3280.0,7.0,4.0,78.0,8.0,1.0,1.0,0.0,0.0,prop_vendida_prev,14.557448378884015,4.762173934797756
176,3.0,h,3.3,3.0,1.0,1.0,5.480638923341991,Port Phillip City Council,Southern Metropolitan,3280.0,2.0,3.0,66.0,5.0,1.0,1.0,0.0,1.0,prop_transferida,14.508658238524095,4.844187086458591
177,1.0,u,3.3,1.0,1.0,0.0,0.6931471805599453,Port Phillip City Council,Southern Metropolitan,3280.0,30.0,15.0,85.0,7.0,4.0,1.0,2.0,2.0,prop_vendida,13.000198003314573,3.871201010907891
178,4.0,h,3.3,4.0,2.0,1.0,5.805134968916488,Port Phillip City Council,Southern Metropolitan,3280.0,6.0,3.0,64.0,7.0,2.0,1.0,0.0,1.0,prop_vendida,15.370492495795535,4.68213122712422
179,2.0,h,3.3,2.0,1.0,0.0,4.927253685157205,Port Phillip City Council,Southern Metropolitan,3280.0,2.0,3.0,63.0,4.0,1.0,1.0,0.0,1.0,prop_vendida,14.108180918195472,0.0
180,3.0,h,3.3,3.0,1.0,1.0,5.318119993844216,Port Phillip City Council,Southern Metropolitan,3280.0,42.0,22.0,79.0,7.0,4.0,1.0,3.0,1.0,prop_vendida,14.403853179405024,0.0
181,3.0,h,3.3,3.0,3.0,1.0,0.6931471805599453,Port Phillip City Council,Southern Metropolitan,3280.0,53.0,28.0,92.0,13.0,7.0,2.0,1.0,3.0,prop_vendida,14.242085282023975,0.0
182,3.0,h,3.3,3.0,2.0,2.0,5.7899601708972535,Port Phillip City Council,Southern Metropolitan,3280.0,43.0,22.0,81.0,9.0,4.0,2.0,3.0,2.0,prop_vendida,15.13859910949192,0.0
183,4.0,h,3.3,3.0,2.0,1.0,5.220355825078324,Port Phillip City Council,Southern Metropolitan,3280.0,40.0,22.0,75.0,7.0,4.0,1.0,3.0,0.0,prop_vendida,14.576316854287645,4.919980925828125
185,2.0,h,3.3,2.0,1.0,1.0,5.099866427824199,Port Phillip City Council,Southern Metropolitan,3280.0,43.0,22.0,67.0,8.0,4.0,2.0,3.0,1.0,prop_vendida,14.375126917328105,0.0
186,2.0,h,3.3,2.0,1.0,0.0,4.394449154672439,Port Phillip City Council,Southern Metropolitan,3280.0,115.0,46.0,97.0,9.0,8.0,2.0,2.0,3.0,prop_vendida,13.795308871054397,4.844187086458591
190,3.0,h,3.3,3.0,2.0,0.0,5.0369526024136295,Port Phillip City Council,Southern Metropolitan,3280.0,6.0,3.0,61.0,5.0,2.0,1.0,0.0,1.0,prop_vendida,14.523546843628687,0.0
191,3.0,h,3.3,3.0,2.0,2.0,5.003946305945459,Port Phillip City Council,Southern Metropolitan,3280.0,35.0,20.0,37.0,5.0,3.0,1.0,3.0,0.0,prop_transferida,14.36939624590319,4.844187086458591
192,3.0,h,3.3,3.0,3.0,1.0,0.6931471805599453,Port Phillip City Council,Southern Metropolitan,3280.0,103.0,50.0,93.0,14.0,9.0,3.0,2.0,2.0,puja_del_vendedor,14.845130332288226,0.0
193,1.0,h,3.3,1.0,1.0,0.0,4.418840607796598,Port Phillip City Council,Southern Metropolitan,3280.0,43.0,24.0,82.0,9.0,4.0,2.0,3.0,2.0,prop_vendida,13.800397935382136,4.762173934797756
195,4.0,h,6.4,3.0,2.0,4.0,6.75110146893676,Darebin City Council,Northern Metropolitan,2211.0,45.0,14.0,50.0,6.0,1.0,2.0,3.0,0.0,prop_vendida,14.508658238524095,4.465908118654584
196,3.0,h,6.4,3.0,2.0,2.0,5.3471075307174685,Darebin City Council,Northern Metropolitan,2211.0,2.0,3.0,31.0,2.0,0.0,0.0,0.0,0.0,prop_vendida,13.919871474189012,1.3862943611198906
197,3.0,h,6.4,3.0,2.0,2.0,6.023447592961033,Darebin City Council,Northern Metropolitan,2211.0,31.0,14.0,60.0,5.0,0.0,0.0,5.0,1.0,prop_vendida,14.215628729986905,0.0
201,4.0,h,6.4,4.0,2.0,1.0,6.398594934535208,Darebin City Council,Northern Metropolitan,2211.0,35.0,11.0,53.0,5.0,0.0,1.0,1.0,0.0,prop_vendida,14.356380885320101,4.5217885770490405
202,5.0,h,6.4,5.0,4.0,4.0,6.698268054115413,Darebin City Council,Northern Metropolitan,2211.0,61.0,33.0,84.0,3.0,1.0,3.0,12.0,0.0,prop_vendida,14.859314962250004,4.672828834461906
204,2.0,u,6.4,2.0,1.0,1.0,4.499809670330265,Darebin City Council,Northern Metropolitan,2211.0,7.0,7.0,42.0,4.0,0.0,0.0,1.0,0.0,prop_vendida,13.172107372246904,4.04305126783455
