direccion_completa,x,y
"Oakleigh, 10/1 Heath Av, 3166",-37.9012948,145.0961459
"Doncaster East, 101 Landscape Dr, 3109",-37.7734861,145.1746245
"St Kilda, 10/1 The Esplanade, 3182",-37.8629367,144.9728804
"Footscray, 10/20 French St, 3011",-37.8012881,144.8967018
"Murrumbeena, 102/124 Murrumbeena Rd, 3163",-37.8926639,145.0661813
"Glen Huntly, 10/21 Royal Av, 3163",-37.8923925,145.0420979
"Brunswick West, 102/2 Olive York Wy, 3055",-37.7585195,144.9396259
"South Melbourne, 102/333 Ferrars St, 3205",-37.8384062,144.9577506
"Box Hill, 10/24 Rose St, 3128",-37.8228965,145.128993
"Maribyrnong, 102/58 La Scala Av, 3032",-37.7808149,144.8929099
"Brighton, 10/260 St Kilda St, 3186",-37.9088823,144.9870716
"Windsor, 102/69 Newry St, 3181",-37.8533987,145.0005143
"Collingwood, 102/6 Mater St, 3066",-37.7951346,144.9851382
"Brunswick, 102/747 Sydney Rd, 3056",-37.7593202,144.9632525
"Kew, 102/75 Princess St, 3101",-37.8021384,145.0294736
"Caulfield East, 10/27 Tattenham St, 3145",-37.8829469,145.0443972
"Toorak, 10/27 Wallace Av, 3142",-37.8386898,145.007396
"Bentleigh East, 102b Parkmore Rd, 3165",-37.9158636,145.0730012
"Glen Huntly, 103/15 Manchester Gr, 3163",-37.8877744,145.0407211
"Footscray, 10/31 Moreland St, 3011",-37.8020911,144.9075098
"Box Hill, 10/32 Ashted Rd, 3128",-37.8237576,145.1257428
"Brunswick East, 10/32 John St, 3057",-37.7756138,144.9766004
"Meadow Heights, 10/32 Papworth Pl, 3048",-37.6499207,144.9186021
"Brighton, 103/32 Warleigh Gr, 3186",-37.9045162,145.0043323
"Niddrie, 103/4 Hotham Rd, 3042",-37.7360258,144.888619
"Fitzroy North, 103/500 Brunswick St, 3068",-37.7919563,144.9800947
"Fairfield, 103/57 Station St, 3078",-37.7809992,145.0179953
"Prahran, 103/59 Porter St, 3181",-37.846934,144.9906588
"Coburg, 103/5 Wardens Wk, 3058",-37.7388316,144.9684218
"Kensington, 103/60 Speakmen St, 3031",-37.7940545,144.9166719
"Moonee Ponds, 10/36 Gladstone St, 3039",-37.7682758,144.9203749
"St Kilda, 10/36 Waterloo Cr, 3182",-37.8625318,144.9839399
"Moonee Ponds, 103/701 Mt Alexander Rd, 3039",-37.7644654,144.9229705
"Kensington, 103/70 Speakmen St, 3031",-37.7939637,144.9159974
"Caulfield North, 10/376 Dandenong Rd, 3161",-37.8606975,145.0113454
"Port Melbourne, 103/77 Nott St, 3207",-37.8407256,144.9383392
"Flemington, 10/37 Bignell St, 3031",-37.7832819,144.9339957
"Albert Park, 103/87 Dundas Pl, 3206",-37.841255,144.9555521
"Craigieburn, 10/38 Mallard Cct, 3064",-37.5954008,144.904358
"Brighton, 10/392 New St, 3186",-37.8976742,144.9946812
"Preston, 10/397 Murray Rd, 3072",-37.7370762,144.9933516
"Point Cook, 10/39 Astley Cr, 3030",-37.8910826,144.7297987
"Mooroolbark, 103 Landscape Dr, 3138",-37.7705051,145.3281343
"Bentleigh East, 103 Matthews Rd, 3165",-37.9290942,145.0731861
"Coburg North, 10/3 Newlands Rd, 3058",-37.7341433,144.9714496
"Altona North, 103 Sixth Av, 3025",-37.835633,144.849405
"Prahran, 104/11 Hillingdon Pl, 3181",-37.8516819,144.9943382
"Northcote, 10/414 High St, 3070",-37.767524,144.9994219
"Richmond, 104/163 Cremorne St, 3121",-37.8301012,144.9904481
"Richmond, 104/18 Coppin St, 3121",-37.8165472,145.0036039
"Cheltenham, 104/19 Hall St, 3192",-37.9639044,145.0535646
"Prahran, 104/22 Chatham St, 3181",-37.8490629,144.9930948
"St Kilda, 104/30 The Esplanade, 3182",-37.8668096,144.9771902
"Collingwood, 104/35 Victoria Pde, 3066",-37.8086499,144.9837888
"Northcote, 10/442 High St, 3070",-37.7667515,144.9994474
"Port Melbourne, 104/54 Nott St, 3207",-37.8406532,144.9389097
"St Kilda, 10/45 Chapel St, 3182",-37.8622054,144.9912645
"Northcote, 104/72 Gadd St, 3070",-37.7622742,144.9893683
"Elsternwick, 10/488 Glenhuntly Rd, 3185",-37.885529,145.0088061
"Toorak, 10/48 Lansell Rd, 3142",-37.8340618,145.0199186
"Preston, 10/4 Austral Av, 3072",-37.7481211,144.9931101
"Knoxfield, 104 Rickards Av, 3180",-37.8863402,145.2475102
"Armadale, 10/507 Dandenong Rd, 3143",-37.8624486,145.0201055
"Kew, 105/191 Barkers Rd, 3101",-37.814275,145.0348735
"Brunswick West, 10/520 Moreland Rd, 3055",-37.7531078,144.9368881
"South Melbourne, 105/211 Dorcas St, 3205",-37.8327914,144.9620468
"Caulfield North, 105/241 Balaclava Rd, 3161",-37.873137,145.0268878
"Port Melbourne, 105/25 Pickles St, 3207",-37.8438951,144.9444928
"Ashburton, 105/315 High St, 3147",-37.8637323,145.083593
"Melbourne, 105/368 Little Collins St, 3000",-37.815461,144.9623199
"Collingwood, 10/55 Islington St, 3066",-37.8074152,144.9906706
"Mentone, 10/56 Milan St, 3194",-37.9830225,145.0606685
"Hawthorn, 10/574 Glenferrie Rd, 3122",-37.8265141,145.0350686
"Reservoir, 10/59 St Vigeons Rd, 3073",-37.706892,145.024936
"Kensington, 105 Stockmans Wy, 3031",-37.7923813,144.9199147
"Tecoma, 105 Terrys Av, 3160",-37.8974326,145.3506965
"Kew, 10/60 Princess St, 3101",-37.8040966,145.029588
"Abbotsford, 106/119 Turner St, 3067",-37.799287,145.0004252
"Prahran, 106/152 Peel St, 3181",-37.8558032,144.9902549
"Hawthorn, 106/17 Riversdale Rd, 3122",-37.8277198,145.0269207
"Richmond, 106/20 Burnley St, 3121",-37.8126488,145.0093583
"Melbourne, 10/628 St Kilda Rd, 3000",-37.8535877,144.9813986
"Northcote, 106/2 Beavers Rd, 3070",-37.7665964,144.998425
"Brunswick West, 106/2 Murray St, 3055",-37.7596086,144.9441272
"South Yarra, 10/63 Alexandra Av, 3141",-37.8322438,144.9892193
"Preston, 106/448 Bell St, 3072",-37.74424,144.996262
"Thornbury, 10/66 Dundas St, 3071",-37.7532092,145.0083144
"Toorak, 10/679 Toorak Rd, 3142",-37.8435445,145.0309617
"Port Melbourne, 106/89 Beach St, 3207",-37.8415825,144.9355606
"Clifton Hill, 106 Noone St, 3068",-37.7936136,144.9950223
"Thornbury, 106 Normanby Av, 3071",-37.758247,144.9903515
"Reservoir, 106 Winter Cr, 3073",-37.7160834,145.0224189
"Murrumbeena, 107/121 Murrumbeena Rd, 3163",-37.8926839,145.0657322
"Keysborough, 10/72 Stanley Rd, 3173",-38.0002576,145.1663821
"Niddrie, 107/388 Keilor Rd, 3042",-37.735475,144.8881798
"Carnegie, 107/6 Kokaribb Rd, 3163",-37.8867859,145.0560346
"South Yarra, 10/77 Park St, 3141",-37.8358051,144.9819865
"Reservoir, 107 Broadhurst Av, 3073",-37.7079007,144.9954138
"Essendon, 108/1044 Mt Alexander Rd, 3040",-37.7487123,144.9136041
"Malvern, 108/1387 Malvern Rd, 3144",-37.8528249,145.0403895
"Melbourne, 108/15 Queens Rd, 3000",-37.8393007,144.9746006
"Carnegie, 108/21 Belsize Av, 3163",-37.8897106,145.0592499
"East Melbourne, 108/33 Cliveden Cl, 3002",-37.8170268,144.9766205
"Richmond, 108/381 Punt Rd, 3121",-37.8255789,144.9888948
"Balaclava, 10/84 Westbury St, 3183",-37.8670995,144.9960618
"Moonee Ponds, 108/525 Mt Alexander Rd, 3039",-37.7706147,144.925918
"Maribyrnong, 108/55 Cumberland Dr, 3032",-37.7864961,144.9008199
"Thornbury, 108/630 High St, 3071",-37.760093,145.0005228
"Mentone, 10/86 Collins St, 3194",-37.9800857,145.0629462
"Elwood, 10/8 Bluff Av, 3184",-37.882661,144.9788099
"Glenroy, 108 Loongana Av, 3046",-37.7083162,144.9056977
"Parkville, 108 Park Dr, 3052",-37.7940686,144.9562711
"Parkville, 108 Parkville Av, 3052",-37.7765537,144.9422933
"Glenroy, 108 Valley Cr, 3046",-37.6990528,144.9094359
"Kensington, 109/102 Rankins Rd, 3031",-37.7922876,144.9310948
"Malvern, 109/1387 Malvern Rd, 3144",-37.8528249,145.0403895
"Wantirna, 109 Alderford Dr, 3152",-37.8671636,145.231917
"Bentleigh, 10/9 Bent St, 3204",-37.9168298,145.0377107
"Hughesdale, 109 Carlisle Cr, 3166",-37.8992723,145.0863784
"Frankston, 109 Franciscan Av, 3199",-38.1656175,145.1554922
"Richmond, 10/9 Somerset St, 3121",-37.8153478,145.000746
"MacLeod, 109 Wungan St, 3085",-37.7215383,145.0701797
"Vermont, 10 Abbey Wk, 3133",-37.8394249,145.2123691
"Bentleigh East, 10a Bevis St, 3165",-37.9185806,145.0536272
"Balwyn North, 10a Bolinda Rd, 3104",-37.7929942,145.086097
"Donvale, 10a Cameron Cl, 3111",-37.7803518,145.1813555
"Brunswick, 10a Latrobe St, 3056",-37.7610272,144.9717692
"Airport West, 10A Laurence Av, 3042",-37.7289034,144.8791934
"Coburg North, 10a Marama St, 3058",-37.7194109,144.958903
"Maribyrnong, 10 Amarco Cr, 3032",-37.7853479,144.8853066
"Spotswood, 10A McNeilage St, 3015",-37.8329702,144.8868913
"Glenroy, 10a Melbourne Av, 3046",-37.7046787,144.93795
"Moorabbin, 10a Narooma St, 3189",-37.9386606,145.0544875
"Newport, 10A Railway Pde, 3015",-37.8489888,144.8698248
"Pascoe Vale, 10 Ashkanasy Av, 3044",-37.7218184,144.9498482
"Bentleigh East, 10a Stratford Av, 3165",-37.9186997,145.0643629
"Glen Iris, 10 Atkins Av, 3146",-37.84807,145.0650582
"Mitcham, 10 Austin St, 3132",-37.8133018,145.1979581
"Maribyrnong, 10a Wardell Cl, 3032",-37.7857074,144.89558
"Bentleigh East, 10a Yaralla Rd, 3165",-37.9226607,145.0790322
"Bentleigh East, 10b Alexander St, 3165",-37.9215642,145.0540389
"Strathmore, 10 Balmanno Cr, 3041",-37.7406222,144.9155287
"Bentleigh, 10B Howell St, 3204",-37.9300438,145.0335692
"Moorabbin, 10b Narooma St, 3189",-37.9387568,145.0545587
"Kealba, 10 Brazilia Av, 3021",-37.7295377,144.822877
"Brighton East, 10b Robinson St, 3187",-37.9190858,145.0200172
"Oakleigh South, 10 Cameron Av, 3167",-37.9216646,145.0878549
"Highett, 10 Ceramics La, 3190",-37.9521021,145.0344436
"Maidstone, 10 Churchill Av, 3012",-37.7831668,144.8683959
"St Kilda, 10 Cintra Av, 3182",-37.8591214,144.99135
"Balwyn North, 10 Citron Av, 3104",-37.7949162,145.1008488
"Prahran, 10 Closeburn Av, 3181",-37.8580059,145.0047115
"Toorak, 10 Cloverdale Av, 3142",-37.8361024,145.0073744
"St Kilda, 10 Clyde St, 3182",-37.865672,144.9780396
"Alphington, 10 Como St, 3078",-37.781572,145.0334997
"Pascoe Vale, 10 Dromana Av, 3044",-37.7300484,144.9348654
"Brunswick, 10 Dunstan Av, 3056",-37.7613068,144.9732321
"Brighton East, 10 Eloura Av, 3187",-37.9120478,145.0225695
"Windsor, 10 Erica St, 3181",-37.8549547,145.0008885
"Oak Park, 10 Esperanto Ct, 3046",-37.7135095,144.9246548
"Chadstone, 10 Evans St, 3148",-37.8834892,145.0976844
"Croydon Hills, 10 Federation Gln, 3136",-37.7766728,145.2736448
"Altona North, 10 Freemans St, 3025",-37.8291051,144.8390702
"Reservoir, 10 Frier Av, 3073",-37.7295026,145.0153199
"Frankston, 10 Frome Av, 3199",-38.1556202,145.124845
"Plumpton, 10 Gordes St, 3335",-37.7137121,144.7237392
"Kew, 10 Gordon Av, 3101",-37.8106248,145.036358
"Glen Iris, 10 Grandview Av, 3146",-37.8503158,145.0836498
"Armadale, 10 Hampden Rd, 3143",-37.855697,145.0133041
"Toorak, 10 Highgate Hl, 3142",-37.8335565,145.014557
"Glenroy, 10 Justin Av, 3046",-37.7058036,144.9338909
"Keilor Park, 10 Lachlan Ct, 3042",-37.720371,144.8593281
"Keilor East, 10 Lakeside Cr, 3033",-37.7395002,144.8760659
"Maribyrnong, 10 Lakeside Cr, 3032",-37.7846296,144.900642
"Knoxfield, 10 Lakewood Dr, 3180",-37.8757875,145.2528446
"Sunbury, 10 Lalor Cr, 3429",-37.5911956,144.7096843
"Jacana, 10 Landy Rd, 3047",-37.6900245,144.9137443
"Mill Park, 10 Langvale Ct, 3082",-37.6551418,145.0542642
"St Helena, 10 Larool Av, 3088",-37.6879998,145.1267961
"Cheltenham, 10 Lauriston Ct, 3192",-37.9568995,145.0587696
"Ringwood, 10 Lauriston Ct, 3134",-37.8031329,145.2332791
"Glen Waverley, 10 Lennox Av, 3150",-37.8747357,145.1864645
"Caulfield East, 10 Lloyds Av, 3145",-37.8862725,145.0446747
"Camberwell, 10 Lofty Av, 3124",-37.8417222,145.0814472
"Oakleigh South, 10 Luain Av, 3167",-37.9261912,145.0845343
"Frankston South, 10 Lyons Av, 3199",-38.1591503,145.1208795
"Fitzroy, 10 MacRobertsons Cl, 3065",-37.7979625,144.9836836
"Strathmore, 10 Madel Av, 3041",-37.7415584,144.9216576
"Camberwell, 10 Mayfield Av, 3124",-37.8400219,145.0817199
"Bulleen, 10 Nevada Rt, 3105",-37.7594005,145.0908025
"Heidelberg, 10 Oakhurst Av, 3084",-37.7481554,145.0647301
"Bentleigh, 10 Osborne Av, 3204",-37.915366,145.0495604
"Taylors Lakes, 10 Panamuna Av, 3038",-37.7053186,144.792516
"Chirnside Park, 10 Parklands Av, 3116",-37.7556233,145.3104247
"Malvern East, 10 Ramona Av, 3145",-37.878119,145.0759768
"Balwyn, 10 Relowe Cr, 3103",-37.8057516,145.1025061
"Keilor Park, 10 Sell St, 3042",-37.7236703,144.8633247
"Coburg, 10 Stockade Av, 3058",-37.7363532,144.9704982
"Patterson Lakes, 10 The Boulevard, 3197",-38.0713282,145.1334615
"Oakleigh South, 10 Tular Av, 3167",-37.9268319,145.083441
"Doncaster, 10 Turana St, 3108",-37.781054,145.1323034
"Kew, 10 Vaughan Cr, 3101",-37.7925286,145.0242885
"Sunshine, 10 Victoria St, 3020",-37.7901822,144.8364498
"Oakleigh South, 10 Ward Av, 3167",-37.9129339,145.0862101
"Altona, 10 Wilga Av, 3018",-37.8731035,144.8124901
"Richmond, 10 Wiltshire St, 3121",-37.8260019,144.9991047
"Heidelberg Heights, 10 Wordsworth Av, 3081",-37.7385824,145.0509915
"Balwyn North, 10 Wynyard Cr, 3104",-37.8035472,145.0926948
"Tarneit, 10 Zizina Av, 3029",-37.8484925,144.6590605
"Reservoir, 1/100 Rathcown Rd, 3073",-37.7092338,145.0221499
"Melbourne, 1102/1 Roy St, 3000",-37.8464972,144.9774734
"Hillside, 1/102 Brindalee Wy, 3037",-37.7010948,144.7468878
"Pascoe Vale, 1/102 Railway Pde, 3044",-37.7241799,144.9253283
"South Yarra, 1103/800 Chapel St, 3141",-37.836117,144.9966236
"Oakleigh, 1/103 Burlington St, 3166",-37.9029712,145.1012127
"Brighton, 1/103 Martin St, 3186",-37.896744,145.0011598
"Melbourne, 1104/55 Queens Rd, 3000",-37.847853,144.9776096
"Melbourne, 1104/582 St Kilda Rd, 3000",-37.8493082,144.9794216
"Doncaster East, 1/1050 Doncaster Rd, 3109",-37.7897067,145.1647607
"South Melbourne, 1105/148 Wells St, 3205",-37.830791,144.9693648
"Thornbury, 1/106 Keon St, 3071",-37.7516638,144.9868849
"Hawthorn, 110/6 Lisson Gr, 3122",-37.8264123,145.0270393
"South Melbourne, 1107/2 Albert Rd, 3205",-37.8328382,144.9714747
"Bentleigh East, 1/107 East Boundary Rd, 3165",-37.9258503,145.0577277
"Southbank, 1108/9 Power St, 3006",-37.8230624,144.9614182
"Southbank, 1109/26 Southgate Av, 3006",-37.8203293,144.9672721
"Gisborne, 1/109 Aitken St, 3437",-37.4962776,144.5910304
"Box Hill, 1/109 Albion Rd, 3128",-37.8254329,145.1349825
"Glen Iris, 1/10 Albion Rd, 3146",-37.8623551,145.0647369
"Camberwell, 1/10 Allambee Av, 3124",-37.8351309,145.0742132
"Heathmont, 1/10 Allens Rd, 3135",-37.8279385,145.248802
"Essendon, 1/10 Ardoch St, 3040",-37.7493932,144.9209727
"Cremorne, 110 Cremorne St, 3121",-37.8284588,144.9903564
"Port Melbourne, 110 Esplanade Pl, 3207",-37.8362817,144.9464282
"Niddrie, 1/10 Haldane Rd, 3042",-37.7352023,144.8848058
"Tarneit, 1/10 Jordyn St, 3029",-37.8664275,144.6608768
"Box Hill, 1/10 Kangerong Rd, 3128",-37.8173164,145.1279042
"Bundoora, 1/10 Lucy Ct, 3083",-37.692995,145.055818
"Doncaster, 1/10 Morrison Cr, 3108",-37.7930342,145.1244635
"Carnegie, 1/10 Newman Av, 3163",-37.9002644,145.0524113
"Pascoe Vale, 1/10 Oak St, 3044",-37.7221976,144.9248855
"Bellfield, 1/10 Poplar Cr, 3081",-37.7514608,145.0358083
"Camberwell, 110 Rowell Av, 3124",-37.8447465,145.0595369
"Reservoir, 1/10 Smith St, 3073",-37.7028334,145.0120039
"Balwyn, 110 Strabane Av, 3103",-37.8064122,145.1021957
"Kew, 11/106 Walpole St, 3101",-37.798226,145.0332143
"Hawthorn, 11/107 Riversdale Rd, 3122",-37.8286603,145.0350506
"Heidelberg, 1/110 Brown St, 3084",-37.7518609,145.0643404
"Murrumbeena, 111/121 Murrumbeena Rd, 3163",-37.8926845,145.0657364
"South Melbourne, 1111/28 Bank St, 3205",-37.8315373,144.9691738
"South Melbourne, 1111/338 Kings Wy, 3205",-37.8349052,144.9699958
"South Melbourne, 1111/38 Bank St, 3205",-37.8318453,144.9681849
"Bundoora, 11/127 Arthur St, 3083",-37.69839,145.045841
"Brunswick West, 111/2 Olive York Wy, 3055",-37.7585195,144.9396259
"Fitzroy, 1/113 Cecil St, 3065",-37.7940798,144.9802469
"Hampton East, 11/13 Kelly Av, 3188",-37.932888,145.027476
"Kensington, 111/465 MacAulay Rd, 3031",-37.794825,144.9313947
"Highett, 1/1149 Nepean Hwy, 3190",-37.9505004,145.0474962
"Toorak, 11/14 Lansell Rd, 3142",-37.8397816,145.016374
"Thomastown, 1/115 High St, 3074",-37.6843696,145.012908
"Lalor, 1/115 Messmate St, 3075",-37.6757215,145.0261154
"Hawthorn, 1/115 Riversdale Rd, 3122",-37.8287519,145.0358177
"South Yarra, 11/17 Como Av, 3141",-37.8377547,145.0021655
"Fairfield, 1/117 Gillies St, 3078",-37.7754379,145.0177783
"Kensington, 111/80 Speakmen St, 3031",-37.7936149,144.9163183
"Reservoir, 1/118 Leamington St, 3073",-37.7118728,144.9979674
"Toorak, 11/18 Tintern Av, 3142",-37.8424598,145.0058504
"Ormond, 11/18 Ulupna Rd, 3204",-37.9022643,145.0430712
"Newport, 1/118 Woods St, 3015",-37.844794,144.8710333
"Bulleen, 1/119 Willow Bnd, 3105",-37.781994,145.1002841
"Abbotsford, 11/1 Abbott St, 3067",-37.7971116,144.9964726
"Thornbury, 111a Darebin Rd, 3071",-37.7641354,145.0094018
"Brooklyn, 1/11 Almond Av, 3012",-37.8218435,144.8384189
"Maidstone, 1/11 Baird St, 3012",-37.7897486,144.8737554
"Mitcham, 1/11 Basingstoke Rd, 3132",-37.8062079,145.1870252
"Caulfield South, 1/11 Brooklyn Av, 3162",-37.8943591,145.0232575
"Hawthorn, 1/11 Creswick St, 3122",-37.8167125,145.0166867
"Meadow Heights, 1/11 Elgata Cl, 3048",-37.648867,144.9227785
"Yarraville, 1/11 Fielding St, 3013",-37.8108919,144.8889098
"Mulgrave, 1/11 Glencairn St, 3170",-37.9277927,145.165633
"Hawthorn East, 1/11 Grandview Gr, 3123",-37.8222295,145.0566473
"Burwood, 1/11 Greenwood St, 3125",-37.8504957,145.1289467
"Burwood, 1/11 Ian Gr, 3125",-37.855464,145.120501
"Sunshine, 1/11 Kinnane Cr, 3020",-37.7809127,144.8360324
"Nunawading, 1/11 Luckie St, 3131",-37.815784,145.174145
"Reservoir, 1/11 Mahoneys Rd, 3073",-37.6951128,145.0089533
"Highett, 1/11 Matthieson St, 3190",-37.9538363,145.0512571
"Malvern, 1/11 Mayfield Av, 3144",-37.8459005,145.0325964
"Thornbury, 111 Pender St, 3071",-37.7545566,145.0134612
"Templestowe Lower, 1/11 Pentlowe Av, 3107",-37.7570661,145.1049408
"Heidelberg West, 1/11 Setani Cr, 3081",-37.7379991,145.0472703
"Greensborough, 1/11 Stubley Ct, 3088",-37.7055682,145.1036846
"Surrey Hills, 1/11 Sunbury Cr, 3127",-37.8247107,145.0942014
"Hadfield, 1/11 Talbot St, 3046",-37.7136826,144.9480232
"Surrey Hills, 1/11 Union Rd, 3127",-37.8344137,145.0960718
"Coburg, 1/11 Wolseley St, 3058",-37.7531234,144.9638132
"Richmond, 11/203 Punt Rd, 3121",-37.8182907,144.9901318
"Oakleigh East, 1/120 Ferntree Gully Rd, 3166",-37.8983668,145.1160379
"Ivanhoe, 1/120 Ford St, 3079",-37.7635713,145.0327881
"Kew, 1/120 Harp Rd, 3101",-37.80062,145.0599228
"Brunswick, 112/10 Pottery Ct, 3056",-37.7702202,144.9523085
"North Melbourne, 112/150 Peel St, 3051",-37.8044074,144.9565996
"Box Hill, 1/121 Albion Rd, 3128",-37.8256091,145.136225
"Brunswick East, 11/22 French Av, 3057",-37.7709459,144.9741977
"Templestowe Lower, 11/231 High St, 3107",-37.7704385,145.1164537
"Reservoir, 1/123 Boldrewood Pde, 3073",-37.7145588,145.0220112
"Pascoe Vale, 1/123 Derby St, 3044",-37.7270713,144.9463783
"Craigieburn, 11/24 Healesville Lp, 3064",-37.5949114,144.9108519
"Toorak, 11/24 Springfield Av, 3142",-37.8450641,145.0118834
"Cheltenham, 11/250 Charman Rd, 3192",-37.9690272,145.0554101
"Armadale, 11/26 Denbigh Rd, 3143",-37.8585323,145.0157962
"Armadale, 11/26 Gladstone Av, 3143",-37.8625507,145.0237136
"Richmond, 11/26 Rotherwood St, 3121",-37.8193632,144.9917037
"Hawthorn, 11/26 Selbourne St, 3122",-37.8209258,145.0443707
"Reservoir, 1/126 St Vigeons Rd, 3073",-37.7057965,145.0194816
"St Kilda, 11/287 Barkly St, 3182",-37.8733239,144.97982
"Thornbury, 1/128 Dundas St, 3071",-37.7539667,145.0149732
"Reservoir, 1/128 St Vigeons Rd, 3073",-37.7057546,145.0193
"Malvern East, 112a Bowen St, 3145",-37.8791435,145.0789687
"Surrey Hills, 112 Broughton Rd, 3127",-37.834623,145.1085836
"Oak Park, 1/12 Cartwright St, 3046",-37.7140521,144.9190994
"Montmorency, 1/12 Davey Rd, 3094",-37.716084,145.1160695
"Glenroy, 1/12 Hartington St, 3046",-37.7022325,144.9173283
"Glen Waverley, 1/12 Jordan Gr, 3150",-37.8868337,145.1677317
"Brighton, 1/12 Laburnum St, 3186",-37.918665,145.005061
"Airport West, 1/12 Laurence Av, 3042",-37.728825,144.8789365
"Ringwood, 1/12 Lena Gr, 3134",-37.8185669,145.2401128
"Glenroy, 1/12 Maude Av, 3046",-37.7058007,144.9350166
"Camberwell, 1/12 Nelson Rd, 3124",-37.8348784,145.0640611
"Flemington, 11/2 Newmarket Wy, 3031",-37.7858766,144.9280496
"Essendon, 1/12 Schofield St, 3040",-37.745002,144.9150375
"Ferntree Gully, 1/12 Wilson St, 3156",-37.8779477,145.2836493
"Alphington, 112 Wingrove St, 3078",-37.7788398,145.0270799
"Thornbury, 11/305 Gooch St, 3071",-37.7602522,145.0260129
"Surrey Hills, 1/130 Windsor Cr, 3127",-37.824977,145.112119
"Preston, 113/100 Plenty Rd, 3072",-37.7498589,145.0035615
"Glen Iris, 113/1555 Malvern Rd, 3146",-37.8536133,145.047763
"Beaumaris, 1/131 Charman Rd, 3193",-37.9780078,145.0530826
"East Melbourne, 11/322 Albert St, 3002",-37.8098272,144.9802798
"Abbotsford, 11/328 Johnston St, 3067",-37.8000038,144.9964245
"Elsternwick, 113/37 Park St, 3185",-37.878881,145.0127542
"Seddon, 1/134 Charles St, 3011",-37.8060665,144.8884741
"Nunawading, 1/134 Junction Rd, 3131",-37.8081951,145.1731773
"Ormond, 11/34 Lillimur Rd, 3204",-37.901152,145.0419104
"Melbourne, 113/55 Queens Rd, 3000",-37.847853,144.9776096
"Brighton East, 1/136 Dendy St, 3187",-37.9212822,145.0080452
